"time","resistor2.LossPower","resistor2.v","resistor1.LossPower","resistor1.v","constantvoltage1.i","ground1.p.i","resistor2.R_actual","resistor1.R_actual","ground1.p.v","resistor2.p.v","constantvoltage1.n.v","resistor2.n.v","constantvoltage1.p.i","resistor1.p.i","resistor1.i","resistor1.n.i","resistor2.p.i","resistor2.i","resistor2.n.i","constantvoltage1.n.i","resistor1.n.v",
0,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.002,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.004,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.006,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.008,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.01,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.012,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.014,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.016,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.018,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.02,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.022,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.024,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.026,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.028,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.03,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.032,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.034,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.036,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.038,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.04,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.042,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.044,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.046,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.048,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.05,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.052,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.054,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.056,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.058,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.06,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.062,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.064,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.066,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.068,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.07000000000000001,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.07199999999999999,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.074,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.076,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.078,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.08,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.082,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.08400000000000001,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.08599999999999999,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.08799999999999999,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.09,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.092,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.094,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.096,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.098,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.1,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.102,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
0.104,0.00025,0.5,0.00025,0.5,-0.0005,0,1000,1000,0,0.5,0,0,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,0.0005,0.5,
